Año,Estado,Precipitación,Categoría,Index
2025,aguascalientes,464.951909,Baja,0
2025,aguascalientes,667.61269,Media,198
2025,baja california,396.451172,Baja,6
2025,baja california,397.136256,Baja,204
2025,baja california sur,363.841158,Baja,12
2025,baja california sur,390.376124,Baja,210
2025,campeche,1264.516301,Media,18
2025,campeche,1429.46822,Media,216
2025,chiapas,1433.541401,Media,36
2025,chiapas,2139.00486,Alta,234
2025,chihuahua,777.100679,Media,42
2025,chihuahua,560.742902,Media,240
2025,ciudad de méxico,672.748805,Media,48
2025,ciudad de méxico,622.475136,Media,246
2025,coahuila,776.871086,Media,24
2025,coahuila,273.830918,Baja,222
2025,colima,866.668844,Media,30
2025,colima,2150.423906,Alta,228
2025,durango,1167.710934,Media,54
2025,durango,526.919466,Media,252
2025,estado de méxico,794.760695,Media,84
2025,estado de méxico,885.958458,Media,282
2025,guanajuato,659.359367,Media,60
2025,guanajuato,800.596777,Media,258
2025,guerrero,924.616156,Media,66
2025,guerrero,1251.45425,Media,264
2025,hidalgo,834.498942,Media,72
2025,hidalgo,558.497996,Media,270
2025,jalisco,878.443195,Media,78
2025,jalisco,1081.125164,Media,276
2025,michoacán,727.558061,Media,90
2025,michoacán,947.930776,Media,288
2025,morelos,499.49006,Baja,96
2025,morelos,1709.933276,Alta,294
2025,nacional,1093.877993,Media,192
2025,nacional,815.685352,Media,390
2025,nayarit,877.221922,Media,102
2025,nayarit,1363.091596,Media,300
2025,nuevo león,1419.546456,Media,108
2025,nuevo león,609.863704,Media,306
2025,oaxaca,1749.144657,Alta,114
2025,oaxaca,1176.263557,Media,312
2025,puebla,1625.000642,Alta,120
2025,puebla,1088.940538,Media,318
2025,querétaro,594.189065,Media,126
2025,querétaro,651.456474,Media,324
2025,quintana roo,2546.045496,Alta,132
2025,quintana roo,1318.906122,Media,330
2025,san luis potosí,1124.465656,Media,138
2025,san luis potosí,580.578457,Media,336
2025,sinaloa,919.817597,Media,144
2025,sinaloa,1261.890542,Media,342
2025,sonora,913.59755,Media,150
2025,sonora,892.966827,Media,348
2025,tabasco,2151.372096,Alta,156
2025,tabasco,1983.406016,Alta,354
2025,tamaulipas,1137.69326,Media,162
2025,tamaulipas,705.657703,Media,360
2025,tlaxcala,768.28471,Media,168
2025,tlaxcala,672.282992,Media,366
2025,veracruz,2118.723448,Alta,174
2025,veracruz,1350.869096,Media,372
